system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000000d5e_0,31.57000000000005,12.811907329405233,80.00589058154544,0.36872038,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.814467527964975]}"
00000000000000001224_0,32.82600000000002,12.811907329405233,79.82128679065887,0.34809768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81980457044008,12.814467527964975]}"
00000000000000000ee9_0,32.65857142857146,12.812266655518881,79.97498853577173,0.22962041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.97251816874041,12.814467527964975]}"
000000000000000010d8_0,30.401428571428596,12.812266655518881,80.1477345649079,0.44915706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,12.814467527964975]}"
00000000000000000cd9_0,31.700000000000045,12.812356487047293,79.85874653800666,0.56852794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85573718180487,12.814467527964975]}"
00000000000000000efe_0,30.423333333333346,12.812356487047293,79.90366230221264,0.5175713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90065294601084,12.814467527964975]}"
00000000000000000468_0,30.940000000000055,12.812446318575706,79.9086030362753,0.17434402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90963609885203,12.814467527964975]}"
00000000000000000680_0,32.03000000000003,12.812536150104117,79.94741025654926,0.31393066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94556871021682,12.814467527964975]}"
000000000000000007f2_0,30.896666666666704,12.812536150104117,80.12374954682193,0.16210769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.12523176704072,12.814467527964975]}"
00000000000000000c2d_0,30.941428571428617,12.812536150104117,80.20837084658598,0.052681763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20608014261148,12.814467527964975]}"
000000000000000001c6_0,31.57000000000005,12.812625981632529,80.0048126032045,0.1848577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.814467527964975]}"
00000000000000000821_0,30.730000000000018,12.812625981632529,80.2145692220464,0.28133705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.814467527964975]}"
0000000000000000078e_0,32.65857142857146,12.81271581316094,79.97606651411267,0.22105263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.97251816874041,12.814467527964975]}"
00000000000000000ad8_0,32.59000000000003,12.81271581316094,80.08970339755379,0.29696792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08929915567595,12.814467527964975]}"
00000000000000001051_0,31.466666666666697,12.81271581316094,80.03634346967709,0.2867647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03540023862877,12.814467527964975]}"
00000000000000000169_0,30.05333333333334,12.812805644689353,80.13300219424835,0.3304122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13421491988191,12.814467527964975]}"
0000000000000000086b_0,31.29000000000002,12.812805644689353,79.91569972701984,0.42709574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.91861925169323,12.814467527964975]}"
00000000000000000bc6_0,31.32666666666671,12.812805644689353,80.22543883698425,0.18481848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,12.814467527964975]}"
0000000000000000098a_0,31.916666666666686,12.812895476217765,79.86476525041026,0.29852986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86472033464607,12.814467527964975]}"
00000000000000000d6b_0,30.60714285714289,12.812985307746176,80.1168325191342,0.41494286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11624861419953,12.814467527964975]}"
00000000000000000f63_0,30.898571428571415,12.812985307746176,80.0499978619957,0.44888574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.814467527964975]}"
000000000000000011e5_0,31.646666666666704,12.812985307746176,80.02349756111418,0.10586517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.02641708578757,12.814467527964975]}"
00000000000000000554_0,32.03000000000003,12.813164970803001,79.94139154414566,0.39005637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.94556871021682,12.814467527964975]}"
000000000000000005e4_0,30.850000000000023,12.813164970803001,80.19157235077294,0.23151515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18811383692909,12.814467527964975]}"
0000000000000000099a_0,31.07000000000005,12.813164970803001,80.19561476955148,0.25698778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.814467527964975]}"
00000000000000000a1c_0,31.646666666666704,12.813344633859824,80.02466537098354,0.2684019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.02641708578757,12.814467527964975]}"
000000000000000002cf_0,32.59000000000003,12.813434465388237,80.09248817493456,0.30389687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08929915567595,12.814467527964975]}"
0000000000000000078f_0,32.49000000000001,12.813524296916649,79.98504966695387,0.3784764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.814467527964975]}"
0000000000000000112d_0,32.104285714285766,12.813524296916649,79.99151753699952,0.4234983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9904844744228,12.814467527964975]}"
000000000000000012ab_0,32.31571428571431,12.813524296916649,79.96070532275422,0.38106915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96353501589921,12.814467527964975]}"
000000000000000011e9_0,32.04000000000002,12.81361412844506,79.95648324091887,0.15816824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.95455186305801,12.814467527964975]}"
00000000000000000809_0,31.57000000000005,12.813703959973472,80.01271777770475,0.3870862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.814467527964975]}"
000000000000000007aa_0,30.730000000000018,12.813883623030296,80.2183421462397,0.44787526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.814467527964975]}"
000000000000000007e8_0,29.99000000000001,12.813883623030296,80.16929413172679,0.30766842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1701475312467,12.814467527964975]}"
00000000000000000192_0,31.466666666666697,12.813973454558708,80.03436717605203,0.31894013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03540023862877,12.814467527964975]}"
000000000000000005a3_0,31.486666666666736,12.81406328608712,80.00050068984072,0.20829016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.999467627264,12.814467527964975]}"
000000000000000001ee_0,30.60714285714289,12.814153117615533,80.11647319302055,0.40865025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11624861419953,12.814467527964975]}"
00000000000000000afc_0,32.403333333333364,12.814153117615533,79.87051446822863,0.54156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87370348748726,12.814467527964975]}"
00000000000000000ed4_0,32.04000000000002,12.814242949143944,79.95342896895286,0.25288054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.95455186305801,12.814467527964975]}"
0000000000000000044e_0,30.660000000000025,12.814332780672355,80.11162229048631,0.019026909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.814467527964975]}"
00000000000000000a9f_0,33.07000000000005,12.814332780672355,79.83224623712513,0.4355751,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82878772328128,12.814467527964975]}"
00000000000000000fc0_0,32.49000000000001,12.814332780672355,79.98118691123216,0.32757556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.814467527964975]}"
0000000000000000087c_0,31.700000000000045,12.814422612200769,79.8560515921543,0.43953186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.85573718180487,12.814467527964975]}"
000000000000000010dd_0,31.32666666666671,12.814602275257592,80.22247439654666,0.35660192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,12.814467527964975]}"
0000000000000000054d_0,30.898571428571415,12.814692106786003,80.05493859605836,0.29096135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,12.814467527964975]}"
